FirstName,LastName,EMailAddress,,,,
ABC00045,DEF00045,NewUser@000001,,,,
ABC00000,DEF00000,NewUser@No,,,,
ABC00015,DEF00015,NewUser@0000-1,,,,
ABC00813,DEF00813,NewUser@0000-2,,,,
ABC98000,DEF98000,NewUser@Fail,,,,
ABC54321,DEF54321,NewUser@Oops,,,,
ABC01000,DEF01000,NewUser@0000-5,,,,
ABC01032,DEF01032,NewUser@0000-6,,,,
ABC09000,DEF09000,NewUser@0000-7,,,,
ABC08000,DEF08000,NewUser@0000-8,,,,
ABC00045,DEF00034,NewUser@Huh,,,,
ABC32768,DEF32768,NewUser@nuhuh,,,,
ABC00045,DEF45000,NewUser@nah,,,,
ABC00023,DEF00023,NewUser@000-9,,,,
ABC35000,DEF35000,NewUser@000-10,,,,
ABC42000,DEF42000,NewUser@NoBueno,,,,
ABC89000,DEF89000,NewUser@notanother,,,,
ABC92000,DEF92000,NewUser@Danger,,,,
